step,location,node,text
,Saint Denis,help-a-brother-out_0,"Meet Brother Dorkins, donate money"
,Shady Belle,money-lending-and-other-sins-part-five_end,
,Shady Belle,no-no-and-thrice-no_0,"Free Tilly from the kidnappers, spare Anthony"
,Rhodes,the-ties-that-bind-us_0,"Obtain the posters, give them their 'freedom'"
158,Saint Denis,angelo-bronte-a-man-of-honor_1,Return to Shady Belle and celebrate the return of John
,Saint Denis,help-a-brother-out_1,"Rescue the children from the fence's shop, give them the money from the till"
,Radley's House,no-no-and-thrice-no_end,
,Rhodes,the-ties-that-bind-us_end,
159,Southfield Flats,the-ties-that-bind-us_post_0,"[days later] Find the convicts again, give them medicine"
160,Stilt Shack,the-ties-that-bind-us_post_1,[days later] Find the convicts for the last time
161,Shady Belle,angelo-bronte-a-man-of-honor_end,
,Saint Denis,help-a-brother-out_end,
162,Saint Denis,brothers-and-sisters-one-and-all,Speak to Sister Calderon outside the church
,Shady Belle,fatherhood-and-other-dreams,Arthur reads a letter from Mary
,Shady Belle,hunt-crawfish,Talk to Pearson when he's out on the dock
,Shady Belle,rob-coach-with-lenny,"One morning, talk to Lenny in the house while he is polishing his rifle"
,Shady Belle,rob-coach-with-micah,"One morning, talk to Micah"
,Shady Belle,the-gilded-cage,"Speak to Hosea one evening, then attend a party"
163,Saint Denis,brothers-and-sisters-one-and-all_0,"Get the crucifix back, escape the law, return to Sister Calderon"
,Saint Denis,fatherhood-and-other-dreams_0,"Meet Mary at her hotel, follow her father"
,Shady Belle,hunt-crawfish_0,Get some crawfish and gator eggs
,Shady Belle,rob-coach-with-lenny_0,"Wait for Lenny to hold up the stage, kill the marshals"
,Shady Belle,rob-coach-with-micah_0,Ride slowly to get all the conversation
,Shady Belle,the-gilded-cage_0,Steal the documents and leave
164,Saint Denis,brothers-and-sisters-one-and-all_end,
,Saint Denis,fatherhood-and-other-dreams_1,Get the brooch back; and loot the lockbox of the wagon
,Shady Belle,hunt-crawfish_end,
,Scarlett Meadows,rob-coach-with-lenny_end,
,Shady Belle,rob-coach-with-micah_1,"Blow up the dynamite, kill everyone, take the money"
,Shady Belle,the-gilded-cage_end,
165,Saint Denis,a-fine-night-of-debauchery,"Speak to Trelawny, near the park"
,Saint Denis,american-fathers-part-one,"Meet Evelyn Miller by the courthouse, introducing Eagle Flies and Rain Falls"
,Saint Denis,duchesses-and-other-animals,[off camera] Meet Algernon to clear the marker
,Saint Denis,fatherhood-and-other-dreams_2,"Return to Mary, go to the theatre"
,Shady Belle,horsemen-apocalypses,"One morning, talk to Sadie"
,Saint Denis,of-men-and-angels,Approach Sister Calderon at the cathedral
,Bayou Nwa,rob-coach-with-micah_end,
166,Saint Denis,a-fine-night-of-debauchery_0,Get a new suit and a trim
,Saint Denis,american-fathers-part-one_end,
,Saint Denis,duchesses-and-other-animals_end,
,Saint Denis,fatherhood-and-other-dreams_end,
,Shady Belle,horsemen-apocalypses_0,Defend the camp from the O'Driscolls
,Saint Denis,of-men-and-angels_end,
167,Saint Denis,a-fine-night-of-debauchery_1,"Rob the riverboat, do not kill the guard walks into the poker room shootout"
,The Heartlands,american-fathers-part-two,Meet Eagle Flies near the oil fields
,Shady Belle,horsemen-apocalypses_1,Talk to Mary-Beth after writing in your journal
168,Saint Denis,a-fine-night-of-debauchery_end,
,The Heartlands,american-fathers-part-two_0,"Infiltrate the office of Danbury, and question him"
,Shady Belle,horsemen-apocalypses_end,
169,Saint Denis,a-fine-night-of-debauchery_post_0,Save the Wittemore outfit (from your horse) if you want to keep it
170,The Heartlands,american-fathers-part-two_1,Shoot your way out
,Valentine,the-noblest-of-men-and-a-woman-part-two,Talk to the bartender about Theodore Levin
,Saint Denis,urban-pleasures,Meet Dutch by the trolley station
171,Twin Stack Pass,american-fathers-part-two_end,
,Valentine,the-noblest-of-men-and-a-woman-part-two_end,
,Saint Denis,urban-pleasures_0,"Rob the trolley station, fight off the police, escape to the bayou"
172,Saint Denis,the-noblest-of-men-and-a-woman-part-two_post_0,"Board the ferry, talk to Theodore Levin"
173,Bayou Nwa,urban-pleasures_end,
174,Saint Denis Shady Belle,country-pursuits,Dutch beckons Arthur up to his room
,Annesburg,slim-grant,Talk to the sheriff
175,Saint Denis Shady Belle,country-pursuits_0,Help Thomas with his crawfish traps
,Annesburg,slim-grant_0,"Find Slim Grant, take him to Calloway, shoot him"
176,Lagras,country-pursuits_end,
,Brandywine Drop,slim-grant_end,
177,Annesburg,slim-grant_post_0,[>3 days] Collect reward at Post Office
178,Lagras,revenge-is-a-dish-best-eaten,Meet Dutch at the bait place
179,Lagras,revenge-is-a-dish-best-eaten_0,"Break into Bronte's place, and kill people"
180,Lagras,revenge-is-a-dish-best-eaten_1,Make sure to loot Bronte after knocking him out
181,Lagras,revenge-is-a-dish-best-eaten_2,Escape the lawmen
182,Shady Belle,revenge-is-a-dish-best-eaten_end,
183,Saint Denis Shady Belle,banking-the-old-american-art,Meet Dutch and Hosea in Dutch's room
184,Saint Denis Shady Belle,banking-the-old-american-art_0,"Rob the bank, shoot a bunch of lawmen, escape on the boat"
185,Saint Denis Shady Belle,banking-the-old-american-art_end,
186,Guarma,chapter-5,Chapter 5
187,Guarma,chapter-5_end,
188,Guarma,welcome-to-the-new-world,Wake up on the shore of a tropical island
189,Guarma,welcome-to-the-new-world_0,"Get captured, then escape the chain gang"
190,La Capilla,welcome-to-the-new-world_end,
191,Arroyo de la Vibora,a-kind-and-benevolent-despot,Meet Dutch by the entrance to a cave
,Guarma,savagery-unleashed,Get shot by a tranq going to rescue local workers
192,Arroyo de la Vibora,a-kind-and-benevolent-despot_0,Go through the cave and rescue Javier
,Guarma,savagery-unleashed_0,"Break free, and rescue the workers being hanged"
193,La Capilla,a-kind-and-benevolent-despot_end,
,La Capilla,savagery-unleashed_end,
194,Cinco Torres,hell-hath-no-fury,Meet the gang at the fortress
195,Cinco Torres,hell-hath-no-fury_0,"Shoot the incoming soldiers, destroy the warship"
196,paradise-mercifully-departed,hell-hath-no-fury_end,
197,paradise-mercifully-departed,paradise-mercifully-departed,Go with Fontaine to destroy the gun batteries
198,paradise-mercifully-departed,paradise-mercifully-departed_0,"Rescue the ship's captain, resolve the standoff, kill Fussar"
199,Van Horn,paradise-mercifully-departed_end,
200,Van Horn,dear-uncle-tacitus,"Grab a horse, and head to Shady Belle (triggering the cinematic camera)"
201,Van Horn,dear-uncle-tacitus_0,"Search upstairs first, do not read the letter, let the Pinkerton read it"
202,Van Horn,dear-uncle-tacitus_1,"Take your time escaping, to let the cutscene happen"
203,Lakay,dear-uncle-tacitus_end,
204,Lakay,fleeting-joy,Reunite with the gang
205,Lakay,fleeting-joy_0,Fend off the Pinkerton attack
206,Lakay,fleeting-joy_end,
207,Saint Denis,a-fork-in-the-road,Go to Doyle's Tavern to join Sadie
,Lakay,thats-murfree-country,"Listen to Dutch making chess moves, then speak to him"
208,Saint Denis,a-fork-in-the-road_0,"Speak to the doctor, find out"
,Lakay,thats-murfree-country_0,"Ride to Beaver Hollow by canoe, dispatch the Murfrees"
209,Saint Denis,a-fork-in-the-road_end,
,Lakay,thats-murfree-country_1,Take Meredith home to Annesburg
210,Willard's Rest,charlotte-balfour-part-one,Charlotte Balfour
,Annesburg,do-not-seek-absolution-part-one,"Speak to Mrs Downes, under the bridge"
,Saint Denis,icarus-and-friends,Meet Sadie at Doyle's Tavern
,Beaver Hollow,thats-murfree-country_end,
211,Beaver Hollow,chapter-6,Chapter 6
,Willard's Rest,charlotte-balfour-part-one_0,Help Charlotte hunt rabbits
,Annesburg,do-not-seek-absolution-part-one_0,Rescue Archie from the mine
,Saint Denis,icarus-and-friends_0,Ride the balloon to the penitentiary and back
,Van Horn,the-wisdom-of-the-elders-part-one,"Find Lemuel, take him home"
212,Beaver Hollow,chapter-6_end,
,Willard's Rest,charlotte-balfour-part-one_end,
,Annesburg,do-not-seek-absolution-part-one_end,
,Kamassa River,icarus-and-friends_end,
,Butcher's Creek,the-wisdom-of-the-elders-part-one_end,
213,Willard's Rest,charlotte-balfour-part-one_post_0,"See if you can find a chap in a tent nearby, scare him off"
214,Willard's Rest,charlotte-balfour-part-one_post_1,[>2 days later] Help Charlotte learn to shoot
215,Willard's Rest,charlotte-balfour-part-one_post_2,[>4 days later] Visit Charlotte one last time
216,Annesburg,do-not-seek-absolution-part-two,"Meet Archie by the store, then go find his mother"
,Beaver Hollow,money-lending-and-other-sins-part-six,"One morning, talk to Strauss"
,Beaver Hollow,the-course-of-true-love-part-four,Read a letter from Penelope Braithwaite
,O'Creagh's Run,the-veteran,"Find Hamish sat by a rock, help him back to his horse"
,Butcher's Creek,the-wisdom-of-the-elders-part-two,"One night, visit Obediah, defend pigs from the mangy dogs"
,Copperhead Landing,visiting-hours,Meet Sadie at the dock and row to the penitentiary
217,Annesburg,do-not-seek-absolution-part-two_0,"Listen to enough of the conversation, then interrupt"
,Beaver Hollow,money-lending-and-other-sins-part-six_end,
,Braithwaite Manor,the-course-of-true-love-part-four_0,Ride with Penelope to Rhodes
,O'Creagh's Run,the-veteran_end,
,Butcher's Creek,the-wisdom-of-the-elders-part-two_0,Destroy the 13 charms (a little to the south)
,Copperhead Landing,visiting-hours_0,"Rescue John, do not kill the guard"
218,Three Sisters,money-lending-and-other-sins-part-six_post_0,"Find Weathers, fight off the army, absolve the debt"
219,Annesburg,money-lending-and-other-sins-part-six_post_1,"Check the mine, go to the widow, absolve the debt and give her money"
220,O'Creagh's Run,the-veteran_post_0,[>1 day later] Go fishing with Hamish
221,O'Creagh's Run,the-veteran_post_1,[>1 day later] Go hunting wolves with Hamish
222,O'Creagh's Run,the-veteran_post_2,[>1 day later] Go hunting boar with Hamish; take Buell
223,Annesburg,do-not-seek-absolution-part-two_1,"Ask her to leave, ride back, give them money"
,Braithwaite Manor,the-course-of-true-love-part-four_1,"Beat up the Grays, shoot those following the train; then decline the bracelet"
,Elysian Pool,the-wisdom-of-the-elders-part-two_1,Invesigate the mine
,Copperhead Landing,visiting-hours_1,"While escaping by boat, watch for prisoners running for the shore"
224,Annesburg,do-not-seek-absolution-part-two_end,
,Beaver Hollow,money-lending-and-other-sins-part-seven,"Return to camp, chuck Strauss out of the gang"
,Riggs Station,the-course-of-true-love-part-four_end,
,Butcher's Creek,the-wisdom-of-the-elders-part-two_2,"Return to the creek, poison the shaman, take the money and read the letter"
,Beaver Hollow,visiting-hours_end,
225,Annesburg,just-a-social-call,"Meet Micah, then watch Dutch kill Cornwall"
,Beaver Hollow,money-lending-and-other-sins-part-seven_end,
,Butcher's Creek,the-wisdom-of-the-elders-part-two_end,
226,Annesburg,just-a-social-call_0,"Fight your way out of town, shooting the oil wagon for the explosion"
227,Kamassa River,just-a-social-call_end,
228,Beaver Hollow,a-rage-unleashed,"One morning, speak to Swanson"
,Roanoke Ridge,the-delights-of-van-horn,"Speak to Micah, who is sitting on the porch"
229,Beaver Hollow,a-rage-unleashed_0,"Subdue the soldiers, rescue the horses, accept talking to Rains Fall"
,Roanoke Ridge,the-delights-of-van-horn_0,Rob the dynamite stagecoach
230,Lannahechee River,a-rage-unleashed_end,
,Kamassa River,the-delights-of-van-horn_end,
231,Wapiti Indian Reservation,archeology-for-beginners,Visit Rains Fall's tent
,Saint Denis,goodbye-dear-friend,Meet Sadie and Dutch in Doyle's Tavern
,Bacchus Station,the-bridge-to-nowhere,Meet John by the bridge
232,Wapiti Indian Reservation,archeology-for-beginners_0,"Investigate the site, find the army camp, listen to their conversations"
,Saint Denis,goodbye-dear-friend_0,"Snipe some O'Driscolls, escape"
,Bacchus Station,the-bridge-to-nowhere_0,"Plant the dynamite, escape the oncoming train, blow up the bridge"
233,Wapiti Indian Reservation,archeology-for-beginners_1,Return the pipe to Rains Fall without killing anyone
,Beaver Hollow,goodbye-dear-friend_end,
,Bacchus Station,the-bridge-to-nowhere_end,
234,O'Creagh's Run,archeology-for-beginners_end,
,Cumberland Forest,favored-sons,"Speak to Dutch atop the cliff, plant the dynamite"
235,Cumberland Forest,favored-sons_0,Kill the soldiers and escape
,Wapiti Indian Reservation,honor-amongst-thieves,Speak to Captain Monroe
236,Dakota River,favored-sons_end,
,Wapiti Indian Reservation,honor-amongst-thieves_0,Steal the vaccine from the wagon without being detected
237,Wapiti Indian Reservation,honor-amongst-thieves_end,
,Beaver Hollow,mrs-sadie-adler-widow-part-one,"One morning, talk to Sadie when she is throwing knives"
238,Beaver Hollow,mrs-sadie-adler-widow-part-one_0,"Agree to helping, but say you'll meet her there"
,Beaver Hollow,the-fine-art-of-conversation,"One morning, speak to Trelawny, then go to the Army parley"
239,Beaver Hollow,mrs-sadie-adler-widow-part-one_end,
,Beaver Hollow,the-fine-art-of-conversation_0,Protect Monroe from the soldiers
240,Hanging Dog Ranch,mrs-sadie-adler-widow-part-two,Find Sadie outside the ranch
,Beaver Hollow,the-fine-art-of-conversation_1,Talk to Sister Calderon
241,Hanging Dog Ranch,mrs-sadie-adler-widow-part-two_0,Kill the remaining O'Driscolls
,Emerald Station,the-fine-art-of-conversation_end,
242,Hanging Dog Ranch,mrs-sadie-adler-widow-part-two_end,
,Wapiti Indian Reservation,the-kings-son,Speak to Charles
243,Wapiti Indian Reservation,the-kings-son_0,"Assault Fort Wallace, escape by canoe"
244,Dakota River,the-kings-son_end,
245,Beaver Hollow,my-last-boy,"One morning, speak to Dutch and Micah"
246,Beaver Hollow,my-last-boy_0,"Assault Cornwall Kerosene & Tar, take Eagle Flies home, then collapse"
247,Annesburg,my-last-boy_end,
248,Beaver Hollow,our-best-selves,"One morning, talk to Dutch"
249,Beaver Hollow,our-best-selves_0,Rob the train
250,Bacchus Station,our-best-selves_end,
251,Bacchus Station,red-dead-redemption,Red Dead Redemption
252,Bacchus Station,red-dead-redemption_0,"Rescue Abigail, escape Van Horn"
253,Bacchus Station,red-dead-redemption_1,"Help John to escape, then fight Micah"
254,Grizzlies East,red-dead-redemption_end,
255,Strawberry,epilogue-i,Epilogue I
256,Strawberry,epilogue-i_end,
257,Willard's Rest,charlotte-balfour-part-two,Charlotte Balfour
,Saint Denis,fundraiser-part-one,Donate money to the Quincy Harris Memorial Hall
,Strawberry,the-wheel,Deliver supplies to Pronghorn Ranch
258,Willard's Rest,charlotte-balfour-part-two_0,Visit Charlotte and tell her of Arthur
,Saint Denis,fundraiser-part-one_end,
,Pronghorn Ranch,the-wheel_end,
259,Willard's Rest,charlotte-balfour-part-two_end,
,Pronghorn Ranch,simple-pleasures,"Talk to the foreman, do some chores"
260,Pronghorn Ranch,simple-pleasures_end,
261,Pronghorn Ranch,farming-for-beginners,"Help the foreman, and do some farming chores"
,Pronghorn Ranch,fatherhood-for-beginners,"Talk to the ranch owner, help with the horses"
262,Pronghorn Ranch,farming-for-beginners_end,
,Pronghorn Ranch,fatherhood-for-beginners_end,
263,Pronghorn Ranch,old-habits,Fight a gang member
264,Pronghorn Ranch,old-habits_end,
265,Pronghorn Ranch,fatherhood-for-idiots,"Run some errands in Strawberry, then kill some fellers"
,Pronghorn Ranch,jim-milton-rides-again,Kill some gang members at Hanging Dog Ranch
266,Pronghorn Ranch,fatherhood-for-idiots_end,
,Pronghorn Ranch,jim-milton-rides-again_end,
267,Pronghorn Ranch,motherhood,"Get a telegram, pass some time, leave the ranch"
268,Big Valley,motherhood_end,
269,Saint Denis,fundraiser-part-two,Go see Arthur's name on the plaque at Quincy Harris Memorial Hall
,Valentine,gainful-employment,"Meet Sadie in the saloon, go get a bounty"
,Big Valley,graves,Paying Your Respects
,Upper Montana River,the-american-inferno-burnt-out,"Meet Evelyn Miller, get invited to his cabin"
,Blackwater,the-landowning-classes,John gets a loan from the bank
270,Saint Denis,fundraiser-part-two_end,
,Diablo Ridge,gainful-employment_end,
,Big Valley,graves_end,
,Tanner's Reach,the-american-inferno-burnt-out_0,"Meet Evelyn Miller, go deal with some hunters"
,Blackwater,the-landowning-classes_0,"Give the squatters money to leave, then return to the bank"
271,Clemens Point,graves_post_0,Visit Sean's grave
272,Colter,graves_post_1,Visit Jenny and Davey's graves
273,Shady Belle,graves_post_2,Visit Kieran's grave
274,Bluewater Marsh,graves_post_3,Visit Hosea and Lenny's graves
275,Donner Falls,graves_post_4,Visit Eagle Flies's grave
276,Elysian Pool,graves_post_5,Visit Susan's grave
277,Mysterious Hill Home,graves_post_6,Visit Arthur's grave
278,Tanner's Reach,the-american-inferno-burnt-out_1,"Meet Evelyn Miller, give him some food"
,Blackwater,the-landowning-classes_1,Return to Beecher's Hope with Uncle
279,Tanner's Reach,the-american-inferno-burnt-out_2,"Meet Evelyn Miller, give him some more food"
,Beecher's Hope,the-landowning-classes_end,
280,Beecher's Hope,epilogue-ii,Epilogue II
,Tanner's Reach,the-american-inferno-burnt-out_3,"Meet Evelyn Miller's corpse, burn the shack"
281,Beecher's Hope,epilogue-ii_end,
,Upper Montana River,the-american-inferno-burnt-out_end,
282,Beecher's Hope,bare-knuckle-friendships,"One morning, speak to Uncle"
283,Beecher's Hope,bare-knuckle-friendships_0,"Find Charles, then bet on him to win"
284,Beecher's Hope,bare-knuckle-friendships_1,"Shoot some guys, then leave town"
285,Beecher's Hope,bare-knuckle-friendships_end,
286,Blackwater,an-honest-days-labors,Meet Sadie in the saloon
,Beecher's Hope,home-improvement-for-beginners,"One morning, join Uncle and Charles at the campfire and pull a buiding down"
287,Blackwater,an-honest-days-labors_0,"Kill Langton and his men, return the bounty target"
,Beecher's Hope,home-improvement-for-beginners_end,
288,Blackwater,an-honest-days-labors_end,
289,Blackwater,the-tool-box,Buy a home from Cakes Hardwood and Timber
290,Blackwater,the-tool-box_0,"Buy some tools, get ambushed and kill the Skinners"
291,Beecher's Hope,the-tool-box_end,
292,Beecher's Hope,a-new-jerusalem,"Speak to Uncle, build a home"
293,Beecher's Hope,a-new-jerusalem_end,
294,Beecher's Hope,a-quick-favor-for-an-old-friend,"Speak to Uncle, under the tree"
295,Beecher's Hope,a-quick-favor-for-an-old-friend_0,Get a bounty with Sadie and take him to Rhodes
296,Beecher's Hope,a-quick-favor-for-an-old-friend_1,"Defend Rhodes, then retrieve the bounty again"
297,Beecher's Hope,a-quick-favor-for-an-old-friend_end,
298,Beecher's Hope,uncles-bad-day,"Go the barn, drink the night away"
299,Beecher's Hope,uncles-bad-day_0,Rescue Uncle from the Skinners
300,Beecher's Hope,uncles-bad-day_end,
301,Beecher's Hope,a-really-big-bastard,"Speak with Abigail, then go with Sadie to fetch a bounty"
,Beecher's Hope,trying-again,"Speak to Jack (try doing it at night), then take him fishing"
302,Blackwater,a-really-big-bastard_end,
,Beecher's Hope,trying-again_end,
303,Beecher's Hope,a-new-future-imagined,Take Abigail to Blackwater for the day
304,Beecher's Hope,a-new-future-imagined_end,
305,Beecher's Hope,american-venom,"Listen to Jack reading a story, then agree to go with Sadie"
306,Strawberry,american-venom_0,"Get information out of Cleet, then hang him"
307,Mount Hagen,american-venom_1,"Climb the mountain, then kill Micah"
308,Beecher's Hope,american-venom_end,
